id,text,language,hate_type,target_group,severity,confidence,source_dataset
19,ঊর্বশীকে দেখে স্বমেহন (কবিরাজি বাংলায় হস্তমৈথুন) করতেন ব্রহ্মা।,bangla,2,3,1,1.0,bengali_hate_v2
20,আমি চাই এ যুদদে ভারত জয়ী হউক,bangla,5,-1,1,1.0,bengali_hate_v2
21,ফুলশয্যায় কে কাট ভাঙবে জানতে চান? এই মালটাকে দেখুন ,bangla,4,1,1,1.0,bengali_hate_v2
22,প্রভা মনে হচ্ছে পাশা সার্জারি করেছে এজন্য পাছার উন্নতি হয়েছে,bangla,4,1,1,1.0,bengali_hate_v2
23,"বোরকা পরা নারীদের দেখে বুঝা যায় না, তারা মানুষ, ভূত না জানোয়ার বলেছেন লিটন",bangla,2,3,1,1.0,bengali_hate_v2
24,৯২% মুসলমানদের দেশ বাংলাদেশে আজ মুসলিমরাই আওয়ামীলীগ নাম কুকুর দ্বারা নির্যাতনের স্বীকার ,bangla,5,-1,1,1.0,bengali_hate_v2
25,"ভাই আগে আপনাকে  কোরআন  বেদ গীতা বইগুলো পরেন জানেন তাঁর পরে তর্কে বসেন তাহলে জবাব দিতে পারবেন,",bangla,2,3,1,1.0,bengali_hate_v2
26,ছাত্রলীগের ছেলেরা কতটা বেয়াদব ও হিংস্র তা এখানে প্রতিও মান ।,bangla,1,2,1,1.0,bengali_hate_v2
27,আমি কিন্তৃু বাংলার সব মুসলিমদের পাকিদের বিছ মনে করি। তাই হিন্দুরা ভারত চলে যাওয়া পাকি বিছদের মনে হতে পারে,bangla,5,-1,1,1.0,bengali_hate_v2
28,মালায়াওন এর বাচ্চারা হলো সুবিধা-পাটি। তারা শুধুমাত্র নিজেদের সুবিধারথেয় বাংলাদেশকে যুদ্ধে সাহায্য করেছে,bangla,5,-1,1,1.0,bengali_hate_v2
29,পয়লা বৈশাখের কথিত মঙ্গল শোভাযাত্রা আর হিন্দু সম্প্রদায়ের রথযাত্রার মধ্যে পার্থক্য কোথায়? ,bangla,2,3,1,1.0,bengali_hate_v2
30,শেষের কথা টা মাদার চোদে কি বলে ,bangla,4,1,1,1.0,bengali_hate_v2
31,মুসলিম শাসকরা ধর্মান্তরে বাধ্য করালে ভারতে হিন্দুই থাকত না,bangla,5,-1,1,1.0,bengali_hate_v2
32,"লীগ বললে সংখ্যায় একটু অল্প অল্প মনে হয়।দল বললে সংখ্যায় একটু বেশি বেশি লাগে।এই যেমন ধরুন,জারজ দলপাপিয়া দল,ইয়াবা দল",bangla,1,2,1,1.0,bengali_hate_v2
33,এই গাই মারানি তর বাপ মার কোন পরিচয় আছে নাকি গাই মারানি,bangla,4,1,1,1.0,bengali_hate_v2
34,ফাপর দিয়া নিজেকে ওস্তাদ ভাবা লোক ইনি ,bangla,4,1,1,1.0,bengali_hate_v2
35,মানবতার দিকেওতাকাবেন ওরা বাংলাদেশে আসলে খতি হবে তাহলে চোখে কালো চশমা পরেবসেথাকেন মাথা বেথার কারন নেই মরলে ওরা মরুক আমরাজেন না মরি কিন্তু কার সময় কেমনে যাবে এক আল্লাহ্ জানেন সরকার ভারতের মানুষ মরলে শোকজানান আর আজ তিরছেন তিনি বিভেকের কাছে পশ্ন্র করি আমরা কি মুসলিম জাতি হায় আল্লাহ্ তুমি ওদেরকে রহমত কর,bangla,5,-1,1,1.0,bengali_hate_v2
36,তারপরও নরেন্দ্র মোদী মহাভারতে সিংহ পরুষ।,bangla,5,-1,1,1.0,bengali_hate_v2
37,যথেষ্ট  ভালো ব্যবহারসমস্যা আপনারআপনি কেনো গেছেন চুলকানি করতে ,bangla,4,1,1,1.0,bengali_hate_v2
38,ভাই কুত্তালিগের দালালি ছারেন সত্তকে প্রকাশ করেন জাতির জনক হল জিয়াউর রহমান ,bangla,1,2,1,1.0,bengali_hate_v2
39,হেফাজতে ইসলামির প্রতিষ্ঠাতা আল্লামা শফির ছেলেকে বাদ দিয়ে কমিটি যারা করে তারা কিসের আল্লামা?,bangla,2,3,1,1.0,bengali_hate_v2
40,সরকারের চেয়ে হাজার গুণ  জানোয়ার হলো এই নাম ধারী আলেমসমাজ যারা ইসলামকে ধ্বংস করছে।,bangla,1,2,1,1.0,bengali_hate_v2
41,যে দেশে ব্যাংক থেকে রিজার্ভ চুরি হয়ে যায় বাবার সামনে মেয়ে ধর্ষিত হয় বিচার পায়না ধর্ষিতা বিনা দোষে ফাসিত ঝুলতে হয় বিনা বিচারে জেল খাটতে হয় মুসলসান হয়ে দাড়ি টুপি নিয়ে চলতে গেলে পথে পথে হয়রানীর স্বিকার হয় । সে দেশে একটি ব্যাগ চুরিতে কিসের লজ্জা?,bangla,4,1,1,1.0,bengali_hate_v2
42,দেখে মনে হচ্ছে চুরি করতে গিয়ে ধরা খাওয়ায় বাশের বাড়ি খেয়েছ।,bangla,4,1,1,1.0,bengali_hate_v2
43,ওড়না তো রাখনাই তাহলে কাপড় লগে রাখার কি দরকার ছিল ওটাও খুইলাই ফালাইতা ,bangla,4,1,1,1.0,bengali_hate_v2
44,গুয়ের সন্দেশ প্রতি কেজি ৪৫০ টাকা,bangla,4,1,1,1.0,bengali_hate_v2
45,আর বেশি দিন নাই ভারত মুসলিম রাষ্ট্রীয় হিসাবে পরিনত হওয়ার,bangla,5,-1,1,1.0,bengali_hate_v2
46,ইসলাম কোনো ধর্মই না।এটি হল দেশ দখলের রাজনৈতিক চক্রান্ত ,bangla,2,3,1,1.0,bengali_hate_v2
47, প্রধানমন্ত্রী সাহেবা ছাত্রলীগ বলতে লজ্জা লাগে না শিবির বা ছাত্রদলের উপর চাপানো চেষ্টা চলবে ? ,bangla,1,2,1,1.0,bengali_hate_v2
48,মেলায় হারিয়ে যাওয়া দুই গাঁজাখোর ভাই ,bangla,4,1,1,1.0,bengali_hate_v2
49,ডঃ কামাল হোসেন ভারতের দালাল হয়ে বিএনপিকে ধ্বংস করতে এসেছে । ,bangla,1,2,1,1.0,bengali_hate_v2
50,প্লিজ সকল মুসলিম ভাইদের বলছি এই সমস্ত মালাউন শয়তান থেকে সাবধান,bangla,2,3,1,1.0,bengali_hate_v2
51, আমিও এর তীব্র নিন্দা জানাই বার্মার রোহিঙ্গা নির্যাতনে। একই ধর্মানুসারী বলেই বাংলার মুসলিমরা এই বিষয়ে সরব থাকবে। বিশেষ করে মিডিয়া গুলো। যদি একটু নিরপেক্ষ মানবিক বিবেক দিয়ে ভাবে তাহলে সহজে উপলব্ধি করত যে নিয়মিত যে হারে বাংলাদেশে সংখ্যালঘু নির্যাতন পীড়ন হত্যা গুম হয় তা বার্মার রোহিঙ্গাদের থেকেও গড়ানুপাতে বেশী। তখন তো ঈমানবাদীরা মালাউন নিয়ে টু শব্দও করে না। বরং ভাবে মালাউন নিধন বা এতে অংশগ্রহন করা বড়মাপের সোহাফ। আঁখির রাতে টি হুর প্রাপ্তি নিশ্চিত হয়। যদি বাংলাদেশে মুসলিমরা সংখ্যালঘু নির্যাতন করে ,bangla,2,3,1,1.0,bengali_hate_v2
52,"ওরে জুতা পিটা করা উচিত, কিন্নির বাচ্ছা, কথা কম বল রানু মন্ডল চিন্তা ভাবনা এতো খারাপ ",bangla,4,1,1,1.0,bengali_hate_v2
53,শহীদ মিনারে ফুল দেয়া এবং হিন্দুদের পূজার মধ্যে পার্থক্য নেই,bangla,2,3,1,1.0,bengali_hate_v2
54,নুরু পাগলা ২০১৭ সালে ছাত্রলীগের নেতার সাথে সেলফি তুলার জন্য দোঁড় দিত আর ২০২০ সালে এসে বাংলাদেশের টপ নেতা এটা হাস্যকর।,bangla,1,2,1,1.0,bengali_hate_v2
55,হিটলার কে ধন্যবাদ কারণ ইহুদীরা আসলিই খারাপ ,bangla,2,3,1,1.0,bengali_hate_v2
56,এটা কমিশনার এর মেয়ে খানকিমাগির মেয়ে ,bangla,4,1,1,1.0,bengali_hate_v2
57,"সবকিছুই অভুক্ত গুদের সাইড এফেক্ট, কষে চোদার দরকার ",bangla,4,1,1,1.0,bengali_hate_v2
58,মিডিয়ার মানুষ গুলা আস্লেই নোংরা। সারাদিন সেক্স আর সেক্স। ,bangla,4,1,1,1.0,bengali_hate_v2
59,রানূ কে চড় মারা উচিত আপনি ঠিক বলছেন ,bangla,4,1,1,1.0,bengali_hate_v2
60,রানুর মতো একটা ভিখারি যেমন পায়ের জুতো অনেক দামি হলেও তাকে কেউ মাথায় তুলে রাখে না তেমন তার মতো একটা ফালতু শিল্পীকে পাপসের মতো পায়ের নিচে রাখায় উচিত ,bangla,4,1,1,1.0,bengali_hate_v2
61,ঐ শালা মালাউন।তোদের বাপ ইউরোপ আমেরিকাতে ঈদের কোন ছুটি নাই।আর সৌদিআরব কিছু করলেই চুলকানি উঠে।,bangla,2,3,1,1.0,bengali_hate_v2
62,বড় জায়গায় রেল লাইনে অপেক্ষা করতাছে মাগি চোদ্দার ,bangla,4,1,1,1.0,bengali_hate_v2
63,ঠিক বলেছেন রানু দির মোতো বেইমান আর নেই ,bangla,4,1,1,1.0,bengali_hate_v2
64,হিন্দুত্ববাদী দালাল সরকারের কোন ক্ষমা নাই মসজিদে উঠে মুসল্লিদের মারধর এর চরম মূল্য তাদের দিতে হবে,bangla,5,-1,1,1.0,bengali_hate_v2
65,ঠিক এমনি অত্যাচার করে ছিলো ইহুদিরা আমার প্রিয় নবী হজরত  মোহাম্মদ (সঃ) কে ।,bangla,2,3,1,1.0,bengali_hate_v2
66,"রোল ডাকার সময়, যখন স্যার বলে, যারা কালকে আসেনি তারা ১০ টাকা করে দাও তখন আমি যাক অন্তত মাইর থেকে বাচা গেল ",bangla,4,1,1,1.0,bengali_hate_v2
67,আড়া চোদা রেপার গোরে পুটকি মারতে মন চায়,bangla,4,1,1,1.0,bengali_hate_v2
68,গোপনে ভিডিও করে তাদের কে সমাজে ছোট করার কোন মানে হয় ,bangla,4,1,1,1.0,bengali_hate_v2
69,আওয়মীলীগ ছাড়া বাংলাদেশের সবাইকে গণহারে জঙ্গি উপাধি দিয়েই ফেঁসে গেছে আওয়ামীলীগ ,bangla,5,-1,1,1.0,bengali_hate_v2
70,দেশ ভাগ হয়েছে সালে আর ভারতের টেস্ট স্টাটাস দেখানো হয় সালে। আসলে তখন ভারতের জন্মই হয়নি। সে হিসেবে বাংলাদেশের টেস্ট স্টাটাস লেখা উচিত সালে পাওয়া।,bangla,5,-1,1,1.0,bengali_hate_v2
71,"গাড়ে টুনি ঝুলিয়ে ছবি তুলে তারপর বলো ট্যাগ করবেন না, তোমার ঐ বালের ছবি বালেই ঝুলিয়ে রাখো ",bangla,4,1,1,1.0,bengali_hate_v2
72, এই ঘটনা যদি পাকিস্তানি সেনারা ঘটাতো তাহলে দেখা যেত রেন্ডিয়ার সংবাদ মাধ্যমগুলো কিভাবে ফলাও করে তা প্রকাশ করে।।। ,bangla,5,-1,1,1.0,bengali_hate_v2
73,ভবিষ্যৎ প্রজন্মকে ধর্মহীন করার য়ড়যন্ত্র করছে সরকার ,bangla,2,3,1,1.0,bengali_hate_v2
74,তোমাদের সব মসজিদ গিয়ে যদি আমরা ভেঙে দিয়ে আসি তাহলে তোমাদের আল্লাহ সেই মসজিদ রক্ষা করতে পারবে তো?,bangla,2,3,1,1.0,bengali_hate_v2
75,বাংলাদেশের মানুষ খুব হিংসুটে ভারতের পত্রিকাকে দেয়া সাক্ষাতকারে পরিমনীর মন্তব্য,bangla,5,-1,1,1.0,bengali_hate_v2
76, মালাউনদের কেন পিটাই বুজসতো আরো পিটামু ,bangla,2,3,1,1.0,bengali_hate_v2
77,বিএনপি এখন হারে হারে বুঝতে পারছে যে ২১শে আগষ্ট গ্রেনেট হামলা তাদের কত বড় ভূল ছিল। ,bangla,1,2,1,1.0,bengali_hate_v2
78,আবাল পাকিরাকি তোর মাবোনকে ছেড়ে দিছিল?তোদেরকেইতো মালাউন বলেছিল তোদের আব্বুরা,bangla,2,3,1,1.0,bengali_hate_v2
79, এই হিন্দুরা কাশ্মীরে মুসলিম এবং হায়দারাবাদে মুসলিম হত্যা করেছে । এটা তারা নিজেদের মুখেই স্বীকার করেছে । তাহলে প্রকৃত সংখ্যা হবে তার থেকে অনেক অনেক বেশী । কাশ্মীরের জম্মু ছিল মুসলিম সংখ্যাগরিষ্ঠ এলাকা । মুসলিমদের উপর গনহত্যা চালিয়ে সেটা হিন্দু সংখ্যাগরিষ্ঠ এলাকা বানিয়ে ফেলেছে । গুজরাটে মুসলিমকে পুড়িয়ে হত্যা করেছে । গুজরাটের মুসলিমদের ঘর বাড়ি আজও তাদের দখলে । গুজরাটের মুসলিম এমপিকে পর্যন্ত তারা জবাই করে হত্যা করেছে । এত বড় হারামজাদা জাতি এই হিন্দু মালাউনের বাচ্চারা । ,bangla,2,3,1,1.0,bengali_hate_v2
80,"মহিলা বেঈমানদের কে রাণুমন্ডল নামে গালি প্রচলন করা হোক, যেমনটা বিশ্বাস ঘাতক দের কে মীরজাফর বলা হয় ",bangla,4,1,1,1.0,bengali_hate_v2
81,ওই লোক লেখা পড়া জানে না ধর্মগ্রনত মানেনা ওর সাথে কিসের তর্ক,bangla,2,3,1,1.0,bengali_hate_v2
82, বাংলাদেশের হিন্দু বৌদ্ধ খ্রিষ্টান এরা হল দুরের মানুষ। এদের বলা হয় মালাউন। এদের নাকি লাথ মাইর ্যা দ্যাশ থেকে বাইর কইরা দিতে হবে। কিন্ত মায়াম্মার হলে নিজেদের দেশ। ,bangla,2,3,1,1.0,bengali_hate_v2
83,নাস্তিকদের কবর হয়ে গেছে।তারা রাহুলের সাথে আর কেউ পারছে না,bangla,2,3,1,1.0,bengali_hate_v2
84,এখানে হিন্দু মুসলিম সুখে আছি এটা দীবাকরের মতো দালালদের সহ্য হয়না।,bangla,2,3,1,1.0,bengali_hate_v2
85,মাইয়া মানুষ দেখলে হুশ থাকে না? ,bangla,4,1,1,1.0,bengali_hate_v2
86,এদের মতন বেশ্যা মাগিদের জন্য সমাজে এত নুংরামী হয় ,bangla,4,1,1,1.0,bengali_hate_v2
87,বঙ্গবন্ধু হত্যার পেছনে সবচেয়ে বড় অপরাধী একমাত্র জাসদ গণবাহিনী,bangla,1,2,1,1.0,bengali_hate_v2
88,মিয়ানমার দেশ মানে কুলংগার এবং ঘৃনিত দেশ। ,bangla,5,-1,1,1.0,bengali_hate_v2
89,মাল ঠিক আছে খেলে আরাম পাওয়া যাবে সেক্সে পুরা শরীরটা ভরা,bangla,4,1,1,1.0,bengali_hate_v2
90,"তরে কত মানুষ গুয়া মারছে তা টিক নাই, দুধ দেখলে মনে হয় শুধু গুয়া মারছে না, দুধে শুনা ডুকাইচে তরে ছুধানির এক হাত নম্বা দন দিয়া গুয়া মারলে বুজতি তখন, ",bangla,4,1,1,1.0,bengali_hate_v2
91,মায়ের অনৈতিক কর্ম দেখায় শিশু সন্তান খুন,bangla,4,1,1,1.0,bengali_hate_v2
92,বাংলাদেশে যে কবে ভারতীয় চ্যনেল গুলো বন্ধ হবে,bangla,5,-1,1,1.0,bengali_hate_v2
93,মালাউন কা বাচ্চা কাভি নেহি আচ্ছা ও ভি সাচ্ছা ও তো শুয়োর কা বাচ্চা। ,bangla,2,3,1,1.0,bengali_hate_v2
94,এর জন্য ভারতের মিডিয়াকে দোয দিয়ে লাভ নেই।এর জন্য দায়ী বাংলাদেশেরই কি বাষ্টার্ড মিডিয়া এবং সাংবাদিক।তারাই প্রথম এটাকে সংবাদ করে।মিরাজ হতে পারে ট্যাক্সি চালকের সন্তান।তাতে অসুবিধারর কি আছে।একজন চা বিক্রেতা যদি একটি দেশের প্রধানমন্এী হতে পারেন একজন ট্যাক্সি ড্রাইভার এর ছেলে একজন ভাল খেলোয়ার্ড হতে অসুবিধা কোথায়।,bangla,5,-1,1,1.0,bengali_hate_v2
95,খাককিমাগি জানেনা যে মানুষের সাথে কিভাবে কথা বলতে হয় ,bangla,4,1,1,1.0,bengali_hate_v2
96,তুই তো আসতা মাগি খায়তো ভিক্ষা করে ,bangla,4,1,1,1.0,bengali_hate_v2
97,মাওলানা নিজামীল রিভিউ খরিজের আগে ভারতীয় হাইকমিশনারের বৈঠক প্রধান বিচারপতির সাথে ফাঁসির পর হাসিনাকে আমন্ত্রণ ,bangla,5,-1,1,1.0,bengali_hate_v2
98,"ওদের মৃত্যু দন্ড দেওয়া ভুল হয়েছে, খানকির বাচ্ছা দের, সারা জীবন কস্ট দেওয়া উচিৎ ছিল ?",bangla,4,1,1,1.0,bengali_hate_v2
99,রানু মন্ডল ওর কপাল ভালো যে অতীন্দ্র চক্রবর্তী ওনার ভিডিওটা ভাইরাল করেছিল আজ তাকে বলছে চাকর কাল বলবে হিমেশ রেশমিয়া উনিও চাকর তারপরের দিন বলবে সালমান খান উনিও চাকর ভগবানের চাকর বা রানুদি বা  ,bangla,4,1,1,1.0,bengali_hate_v2
100,হাজার হাজার মুসলিম মরছে সেই দিকে নজর নাই ভারতের জন্য ব্যথা প্রকাশ বাংলাদেশে রোহিঙ্গাদের পূর্নবাসনের ব্যবস্তা করা হোক অামরা মানবতার পাশে দাড়াতে চাই ।,bangla,5,-1,1,1.0,bengali_hate_v2
101,নাস্তিকদের যতই বুঝাবেন তারা তো আল্লাহকেই বিশ্বাস করে না।,bangla,2,3,1,1.0,bengali_hate_v2
102,যখন বাবরি মসজিদ ভাঙ্গা হলো সেই ওপারের সাম্প্রদায়িকতার ঢেউ এপার বাংলার অাকাশে বাতাসেও যেন বইছিলো। মোদ্দাকথা অামাক সিকুয়েশন করতে হবে। ওপারের ভাইদের উপর অাক্রমণ হইবো অার অামরা বসে বসে থাকুম নাকি এপারের মালাউনদের উপর তাই হামলা করে তখন বাবরি মসজিদ ভাঙ্গার প্রতিশোধ নেওয়া হলো। পৃথিবীর মধ্যে অামাগো শান্তিপ্রিয় ভাইয়েরাই বুঝি এমন এক জাত যারা পজেটিভ দিকের সিকুয়েশন করতে পারুক বা না পারুক এসব নেগেটিভ দিক যেটা দেশের ভাবমূর্তি নষ্ট করে যা থেকে অামাদের ভাল কিছুই শেখার নেই এরা সেটার সিকুয়েশন করে। এক অাখলা,bangla,2,3,1,1.0,bengali_hate_v2
103,ভারতীয় মন্তী নিয়ে অালোচনা অনথক। আর আমাদের মন্তীরা জুতা সেলাই করে পরে না ওটা লোকদেখানো নেকামি মাএ ।,bangla,5,-1,1,1.0,bengali_hate_v2
104,ঝিনাইদহে হচ্ছে কি? কোথায় আইনের শাসন? ,bangla,4,1,1,1.0,bengali_hate_v2
105,"মোনাজাতের মাধ্যমে মূর্তি উদ্ভোধন, বাপকে দুলাভাই ডাকার মত ",bangla,2,3,1,1.0,bengali_hate_v2
106,অভিনেত্রি কয় কি তুমি না ভারতের পা চাটা গোলাম।,bangla,5,-1,1,1.0,bengali_hate_v2
107,সম্প্রতি জামায়াতের আমীর জনাব মকবুল আহমাদ দলের আমীর নির্বাচিত হওয়ার পর তারা রাতারাতি তাঁকে রাজাকার বানিয়ে ছাড়ছেন নির্লজ্জ বানোয়াট কাল্পনিক গাঁজাখুরি গল্পবাজী শুরু করেছেন,bangla,1,2,1,1.0,bengali_hate_v2
108,আমার কাছে কথা একটা ওতো কথা বুঝিনা তোমার ভারতকে পাঠাও দেখা যাক কি হয়,bangla,5,-1,1,1.0,bengali_hate_v2
109, দেখুন এটাও হয়তো বি এন পি ও জামাত শিবিরের সরজন্ত্র হতে পারে ,bangla,1,2,1,1.0,bengali_hate_v2
110, আগামীকাল দশ বছরের শিশুকে যদি জামায়াতের আমির বানাই তার বিরুদ্ধেও যুদ্ধাপরাধির তদন্ত শুরু হবে এবং প্রমান হবে সে রাজাকার ,bangla,1,2,1,1.0,bengali_hate_v2
111,"শেখ হাসিনা মেরেও জিতেছে, কেঁদেও জিতেছে - বঙ্গবীর কাদের সিদ্দিকী ",bangla,5,-1,1,1.0,bengali_hate_v2
112, তর প্রফাইল নেইম টা আমি মালাউন হিজরা লিখা উচিৎ ছিল।তুই বেষ্যা মাগির পুত নেংটি দাতু চুরের বাচচা।তর মা তর চাচা জেঠা মামা খালু সবার সাথে চুদা দিয়া তরে সংমিসৃত সন্তান পয়দা করছে।তর মারে চুদি দাতু চিরের বাচচা তর মউত মোসলমানের হাতে মনেরাখিস ইনসা আল্লাহ।তোর আসেপাসেই কোন ঈমানদার তোকে নজরে রাখছে কাফেরের বাচচা। ,bangla,2,3,1,1.0,bengali_hate_v2
113,ওরে মালুর দল পাকিস্তান ছোট দেশ হয়েও তোদের অবৈধ বাপ রেন্ডিয়ারে যে চোদা দেয় তাতে তোদের হয় না?চায়না চোদা দিলে মজা বেশি পাবি?,bangla,5,-1,1,1.0,bengali_hate_v2
114, জনের পরিবর্তে জন ভারতিও মালাউনকে ঘন্টার ভিতর হত্যা করা হোউক। আর আমি জানি পাকিস্তান তোমরা সেটা পারবে এবং করবে ,bangla,2,3,1,1.0,bengali_hate_v2
115,"আন্দালিব ভাই , এই মাগীর পুতেরা কিসু জানে না . সালারা বুড়া ভাম",bangla,1,2,1,1.0,bengali_hate_v2
116, খালেদা জিয়া কি ফেরেশতা না কি ,bangla,4,1,1,1.0,bengali_hate_v2
117,ফাসি কার্যকর না হলে আমি শান্তি পবোনা।,bangla,4,1,1,1.0,bengali_hate_v2
118,আর কত রক্ত ঝরলে নিষিদ্ধ করা হবে সন্ত্রাসী সংগঠন ছাত্রলীগকে,bangla,5,-1,1,1.0,bengali_hate_v2
119,শ্রীজিৎ হচ্ছেন হাতমারা কাশেম আর মিথিলা হচ্ছেন আংগুল মারা পার্বতী তাই দুজনে ঠিক করেছেন দূরদূরান্ত থেকেই হাত মেরে আর আংগুল মেরে তাদের জীবনটা কাটিয়ে দেবেন আর হোয়াটসঅ্যাপে সাইবার করবেন তাইতো এখন শ্রীজিৎ হচ্ছে কলকাতায় মিথিলা হচ্ছে সুইজারল্যান্ডে ,bangla,4,1,1,1.0,bengali_hate_v2
120,মোহাম্মদ অনেক মেয়ে জোর জবসতি ভোগ  করেছেএবং ওর মতো কেউ মরণ জন্তনা ভোগ করে নাই ।তাই মানবজাতি নারী ভোগ করার কথা চিন্তাও করবেন না,bangla,2,3,1,1.0,bengali_hate_v2
121,"প্রেম অন্ধ হয় , প্রেম একটা পবিত্র জিনিস এখানে সামাজিক সম্পর্কের বন্ধনের কোনো মূল্যে নেই , শুধু দু জনের মনে একে অপরের প্রতি ক্যায়ারনেস টাই ইম্পরট্যান্ট , তা ছাড়া এরা যদি বিয়ে ও করতো তাতে কি এমন মহাভারত ওষুদ্ধ হয়ে যেত ",bangla,4,1,1,1.0,bengali_hate_v2
122,ভারতের পীচ আর রান হাহাহা ?? ভারতের সব রেকর্ড তাদের নিজের মাটিতেই। বাইরের মাটিতে তাদের হাগু এসে যায় রান করতে। তাদের মুখে তো এ কথা মানায় না। এটা যদি ইউরোপের মাট হত তাও বিলিভ করা যেত। কারণ অস্ট্রেলীয় আর ইংল্যান্ড তারা সব সময় বোলিং পীচকেঈ প্রাদান্য দেয়। ভারতের আসলেই লজ্জা শরম নেই,bangla,5,-1,1,1.0,bengali_hate_v2
123, সাবাস আমীর হওয়ার সাথে সাথে হয়ে গেল রাজাকার ,bangla,1,2,1,1.0,bengali_hate_v2
124,"মাইয়ারে পাইলে দুধ এর উপর ঘুম যাইতাম, আহা সেই মাল,",bangla,4,1,1,1.0,bengali_hate_v2
125,সব গান গঞ্জিকা খাইয়া গাইছে হ্লা আবাল চুদারা,bangla,4,1,1,1.0,bengali_hate_v2
126,"বোকাচুদা সাকিক অপুকে চুদে নি,অপু সাকিবে চুদে ছেড়ে দিসে,তুই ই বল সকিবের সাথে অপু যায়",bangla,4,1,1,1.0,bengali_hate_v2
127,তুই ২০ টাকার খানকির চেয়েও নষ্ট মাগি। ,bangla,4,1,1,1.0,bengali_hate_v2
128,"ঝসড়ার সময় বাঙালির বিখ্যাত ডায়লগ, তুই আমারে চিনস/তুই জানস আমি কে?",bangla,4,1,1,1.0,bengali_hate_v2
129,ভারতে গিয়েও শেষ রক্ষা হলনা কি আর করবেন ভাই,bangla,5,-1,1,1.0,bengali_hate_v2
130,হাসিনার একদিন বিচার হবে আল্লাহ পাক তাকে কবর থেকে উঠিয়ে দিবে,bangla,1,2,1,1.0,bengali_hate_v2
