id,text,language,hate_type,target_group,severity,confidence,source_dataset
25, ছাএ শিবিরের সময় উপযোগী একটি উদোগ  বিরোধিতার জন্য রিরোধিতা না করে সকলে একত্রে এই কমসূচি তে অংশগ্রহন করা দরকার  বারমার মুসলমানরা আওয়ামিলীগ বিএনপি বা জামাতের না  তারা পৃথিবী সকল মুসলমানদের ভাই বোন  ,bangla,1,-1,1,1.0,bengali_hate_v1
26,অন্যের ফাসি নিয়ে কতটা ভয়ংকর হয়ে উঠেছিল এই দিয়াজ আজ সে নিজেই ফাসিতে ঝুলতে হল  পাপে বাপ কে ছাড়েনা বুঝলেন ,bangla,4,-1,1,1.0,bengali_hate_v1
27,সব টিভি নাট্য শিল্পীরাই কুকুরের দল ভারতের নাটক গুলো বাংলার মা বোনদের খারাপ করা বোঝেনা সে বোঝেনা পাখি সিরিয়ালের সময় শিল্প কি নিচে ঢুকানো ছিল   কই মালাউন চঞ্চল   যদি বন্ধ হয় তবে ভারতে সিরিয়ালের সময় আগে মালাউনদের মুখ খোলা নাস্তিক তৌকির বর্তমানে বাংলার টিভি নাটকে মেয়ে শিল্পীদের ড্রেসের কাহিনী দেখলে ভারতকেও হার মানায় এগুলো পরিবর্তন কর  ,bangla,2,-1,2,1.0,bengali_hate_v1
28,অ্যাটনি জেনারেল পদত্যাগ করলে রাজাকারদের ফাসি দেবে কে ,bangla,1,-1,1,1.0,bengali_hate_v1
29,দালাল কোথাকার তর য দি লজ্জা থা কে ঐক্যের বেপা রে একটা কথা বল বি না   ,bangla,1,-1,1,1.0,bengali_hate_v1
30,সে গন্ধ নেওয়ার জন্য মালাউনরা দৌরে,bangla,2,-1,1,1.0,bengali_hate_v1
31,আমার মনে হয় আপনি দু লাইন বেশি বুঝেন চীন আছে বলেই পাকিস্তান আপনাদের বাঁশ দিতে পারে আর চীনের হাত যার মাথার উপর সে মাথা তুলে দাড়াচ্ছে আফ্রিকার অনেক দেশ চীনের কাছ থেকে সুবিধা নিচ্ছে পাকিস্তানের অস্ত্র চীনের দান অবশ্য এটা মানতে হবে যে ভারত আমাদের ভাল বন্ধু ,bangla,5,-1,1,1.0,bengali_hate_v1
32, এবং জামাত শিবির কে নিয়ে সম্মেলন করুক পাকিস্তান   ,bangla,1,-1,1,1.0,bengali_hate_v1
33,শুধু বাংলাদেশ আর ভারতের লড়াইয়ে ভারত এগিয়ে,bangla,5,-1,1,1.0,bengali_hate_v1
34,বাল পাকনা ভালো  এত বেশি বাল পাকনা ভালো না  ,bangla,1,-1,1,1.0,bengali_hate_v1
35,তুই মরবি  হাসপাতাল নিয়ে যাবার জন্য সবাই কে ডাকবি কিন্তু কাউকে পাবি না  সবাই ভাববে প্রাংক  ,bangla,4,-1,1,1.0,bengali_hate_v1
36,রোহিঙ্গাদের এই সমস্যা দীর্ঘদিনের যা কিনা শুধু বাংলাদেশ নামক রাষ্টটি তার বর্ডার খুলে দিলেই সমস্যার সমাধান হবে না রোহিঙ্গাদের নিয়ে আন্তর্জাতিক একটি গুষ্ঠি এক ধরনের খেলা খেলতেছে যা কিনা আপনাদের মত আবেগীরা ঠিক মত বুঝে উঠার আগেই চিল্লাইয়া ভরে ফেলছেন এরা মুসলিম এরা আমাদের ভাই এদের কে জায়গা দেওয়া হোক আগেরা বাগেরা টাইপের আবেগী কথা বলে  শুনেন রোহিঙ্গাদের আশ্রয়ের সাথে মুক্তিযুদ্ধের সময়ের বাংলাদেশের শরনার্থীদের ভারতের আশ্রয় তুলনা করে যখন কথা বলেন তখন শিউর হই আপনি শধু একজন উগ্রবাদী আর কিছু না,bangla,5,-1,1,1.0,bengali_hate_v1
37,গরুর হাটের ধোলাই ও মাফ চাওয়াটা কেমন ছিলো  আবাল  ,bangla,4,-1,1,1.0,bengali_hate_v1
38,পৃথিবীর মাঝে সবচেয়ে অভদ্র আর জানয়ার বলতে একটা দেশই রয়েছে তার নাম পাকিস্তান আর বাংগালী এক জানয়ার কমেন্টে লিখেছে টাকা ফেরত দিতে এইহল আমাদের বাংলাদেশ আর রাজাকার তবে আমার মতে যারা পাকিদের সুরে গানগায় তাদের পাকিস্তান চলে যাওয়া উচিত আমরা বিরেরজাতি হারতে শিখিনী বিজয়ী হয়েছি সেটাও যানা আছে তাদের সেই সাহস নেই টাকা চাওয়ার কুত্তা শুধূ ঘৈও ঘৈও ই করতে যানে আর কুত্তাকে কিভাবে ঔষদ দিতে হয় ভাঙালিরা যানে,bangla,1,-1,3,1.0,bengali_hate_v1
39,তসলিমা নাসরিনের মত তুমি ও টাকা পাও কাফের,bangla,2,-1,1,1.0,bengali_hate_v1
40,সেটা কোর্টে বল ভারতে আসতে এত ভয় কিসের  বাপ মারা গেলো তাও এলিনা  এখন সাম্প্রদায়ীক তাস খেলছিস  এতে কোনো লাভ হবে বলে মনে হয়না  পারলে ভারতে আয় কোর্টে যা নিজেকে নির্দোষ প্রমান কর  ,bangla,5,-1,1,1.0,bengali_hate_v1
41,মেয়েরা বেকুবই হয় নতুন কিছু না হা হা হা,bangla,3,-1,1,1.0,bengali_hate_v1
42,মাননীয় প্রধান মন্ত্রী আপনাকে বলছি স্বরন করুণ সেই এর কথা যেদিন আমাদের দেশের জনগণ এরুপ একটি পরিস্থিতির মোকাবিলা করেছিল আমাদের দেশের অসহায় জনগণ সেদিন বিধর্মী রাষ্ট্র ভারত তাদের সিমান্তকে উন্মক্ত করে দিয়ে কোটার ও বেশি স্বরনার্থীকে আশ্রয় দেয় কিন্তু পরিস্থিতি অনুকুলে আশায় বাংলার জনগণ আবার বাংলায় ফিরে আর আমি ও চায় এই রোহিঙ্গাদের এমন একটি সুজোগ দেওয়া হোক দুর্দিন সারাজীবন থাকেনা সু দিন ও আসে যেমনি এসেছে বাংলাদেশের আরা সেই দিনের কথা স্বরন করে ভারতকে আজও সম্মানের আসন উন্মক্ত করে দেওয়া হয় আমি,bangla,5,-1,1,1.0,bengali_hate_v1
43,ওই কুকুরের বাচ্চা মেয়ে দেখলে দন খারা হয়ে যাই নাকি সালার ,bangla,4,-1,1,1.0,bengali_hate_v1
44,ভারতীয় সীমান্তরক্ষী বাহিনী বিএসএফ চীন সীমান্তে দুইজন চীনা নাগরিককে গুলি করে কি হত্যা করতে পারবে  নিশ্চই না  চীনা নাগরিককে গুলি করে হত্যার সঙ্গে সঙ্গেই যুদ্ধ শুরু হত  পাক ভারত সীমান্তেও ভারতীয় সীমান্তরক্ষী বাহিনী এই দুইজন পাকিস্তানী নাগরিককে গুলি করে হত্যা করতে পারবে না  বাংলাদেশ ভারতের বন্ধু রাষ্ট্র বাংলাদেশ ছোট রাষ্ট্র পাকিস্তান চীনের মতো শক্তি বাংলাদেশের নাই  মানলাম যে দুজন বাংলাদেশি বিএসএফের গুলিতে নিহত হয়েছে তারা চোরাকারবারি মাদক ব্যবসায়ী হয়তোবা তারা গরু আনতে গিয়েছিল ভারতের সীমান্তে ,bangla,5,-1,2,1.0,bengali_hate_v1
45,এমন একটা পাইলে এক কম করে হলেও এক রাতে চারটি সট দিতাম ,bangla,3,-1,1,1.0,bengali_hate_v1
46,এরা আসলেই রাজাকার তাই না কখন ও বড়ুই গাছে উঠছেন না উঠে থাকলে আজই গাছে উঠে দেখবেন নিচের দিকে একজন কে কয় জন দেখা যায় রাজাকার বলছেন বি এন পি কে দেখুন তো এদের নাম জানেন কি খনদকার মোশারফ যিনি শেখ হাসিনার বেয়াই মহিউদদিন আলমগীর মোজাফফর যিনি আওয়ামীলীগ এর সভাপতিমনডলির সদস্য আরো দেখাবো না জানি কষট পাবেন মনে রাখবেন কথায় বলে এক মাঘে শীত যায় না মাঘ আবার ঘুরে ফিরে আসবেই যতোটুকু লিখলাম তার ভিতর সুই ডুকানোর হিমমত থাকলে বলবেন আমায় আমি মুক্তিযোদ্ধা আমাকে করা কষট ক,bangla,1,-1,3,1.0,bengali_hate_v1
47,বড় ধোঁকাবাজ  তারা কাফেরদের পক্ষে বড় আগুয়ান গলাবাজ আর মুসলিম নির্যাতনের বিরুদ্ধে তাদের মুখে ঠুসি পরানো থাকে  পশ্চিমাদের একনিষ্ঠ দালাল  আল্লাহর দুশমন  এখন শেষ বেলায় এসে খুব দরদ দেখানো হচ্ছে  এসব ভন্ডামি আমরা বুঝি কোথায় গেছে আজ জাতিসংঘ  ওয়াইসিও কোথায়   হিন্দু নির্যাতিত হলে ভারত কাঁদে খৃষ্টান হলে আমেরিকা কাঁদে ইহুদি হলে ইজরাইল কাঁদে বৌদ্ধ হলে চীন কাঁদে মুসলমান নির্যাতিত হলে কোন দেশ কাঁদে না মিয়ানমারে রোহিঙ্গাদের প্রতি বর্বর নির্যাতন দেখে আমাদের কি একটুও মন কাঁধে না   এই কেমন ন,bangla,5,-1,1,1.0,bengali_hate_v1
48,কিছু লিখলেই জিয়া পরিবার বিএনপি রাজাকার শিবির জামাত আরে ভাই এটা গনতন্ত্রদেশ সবাইকে বলার অধিকার দিয়েছে তাই আমি বলেছি  তাতে আপনাদের গাঁ জলে কেন  চোরের মন পুলিশ পুলিশ তাই না,bangla,1,-1,2,1.0,bengali_hate_v1
49,সে তো বরিশালের ছেলে কিন্তু কেমন করে নিজের বিভাগকে হারিয়ে দিল সে তো বড় রাজাকার সাবিবর,bangla,1,-1,1,1.0,bengali_hate_v1
50,সত্যি জামদানী শাড়িতো ভারতী বাংলা সিরিয়ালে সবসময় দেখি ,bangla,5,-1,1,1.0,bengali_hate_v1
51,বাংলাদেশে যদি হিন্দুদের উপর কোন সহিংসতা ঘটে তাহলে ভারত উদ্বেগ জানায় শুধু ভারত নয় বাংলাদেশেও অনেক মানবাধিকার কর্মি এবং বিশিষ্ট জনেরা চিন্তিত থাকে  কিন্তু ভারতে এবং অন্যান্য দেশে যদি কোন মুসলমানের উপর অত্যাচার করা হয়  তখন কোন মানবাধিকার কর্মি এবং কোন বিশিষ্ট জন খিজে পাওয়া যায়না তখন তারা কিছু দেখতে পায়না শুনতেও পায়না,bangla,5,-1,1,1.0,bengali_hate_v1
52,ভারত একটা হিন্দু রাষ্ট্র হয়ে মুসলিমদের সাহায্য করেছে ঠাই দিয়েছে আবার শত্রুর বিরুদ্ধে যুদ্ধ করেছে আর বাংলাদেশ মুসলিম হয়ে মুসলিমদের সাহায্য করতে পারেন না,bangla,5,-1,1,1.0,bengali_hate_v1
53,খানকির পোলার ওর আব্বা এক গোল দিলেই যাদু তোগের বিচারিক ঞ্জানের দোন ও নেই শালারা ওই দিন একাই পাচ পাচ টা গোল দিছে তার কোন খবর নেই,bangla,3,-1,3,1.0,bengali_hate_v1
54,পুরা বেশ্যা মাগী ,bangla,3,-1,1,1.0,bengali_hate_v1
55,তারিফ হাসান রেন্ডিয়াতে কি তুরে মাকে ভাডা দেচ  মালাউনের বাচ্চা মুস্লিমদের প্রতি দরদ নাই শালা মুনাফেক মাদারিচুদ,bangla,2,-1,3,1.0,bengali_hate_v1
56,রবিন তোমার জন্ম মনে হয় ভারতে,bangla,5,-1,1,1.0,bengali_hate_v1
57,বাংলাদেশর সরকার অন্ধ আর ভারত সরকার কানা,bangla,5,-1,1,1.0,bengali_hate_v1
58,ঐ খানকির বাচ্চা সময় টিভি তোদের কে জুতা পিটা করব এরা অসহায় মানুষ এদের নিউজ তৈরী করতে রাত জাগস অথচ ভারতের অবৈধভাবে এনে এই দেশে পুলিশের চাকরি দিছে সেই নিউজ কই ভালো হয়ে যা,bangla,3,-1,3,1.0,bengali_hate_v1
59,হু ঠিকি বলছেন ভারত যদি এর জবাবে রানে অল আউট হয় তাহলে এর বেশি রান করার কি দরকার আছে  ,bangla,5,-1,1,1.0,bengali_hate_v1
60,মাগি যা দুধ রে   সব খুল ,bangla,3,-1,3,1.0,bengali_hate_v1
61, ইন্ডিয়ায় মালাউনরা কুওার সাথে বিবাহ করছে গরুর মূত খায় ,bangla,2,-1,1,1.0,bengali_hate_v1
62,অ্যাটনি জেনারেল পদত্যাগ করলে রাজাকারদের ফাসি দেবে কে ,bangla,1,-1,1,1.0,bengali_hate_v1
63,বাংলাদেশ সরকার এ যুদ্বে নিহত ভারতীয়দের অর্থ দিবে সেটা ভালো কথা কিন্তু এ ভারতীয় সৈন্যরা বাংলাদেশ থেকে যে সম্পর লুট করেছে সেটা কি সরকার ফিরিয়ে আনবে  ফিরিয়ে আনবে কি হাজারো নিরাপরাধ ফেলানীর খুনের মুল্য  পারবে না সরকার মুলত এর মাধ্যমে ভারতীয় গোলামির পরীক্ষায় উৎত্তীর্ন হওয়ার চেষ্টা করছে,bangla,5,-1,3,1.0,bengali_hate_v1
64, আসোলে বিএনপি একটা রাজাকার সভায় জেনে গেছে ,bangla,1,-1,1,1.0,bengali_hate_v1
65,আরো কিছু শুহর বাচ্চা তোর আরো তোর বাপ আছে তারাও কিছু করলে সেটা ঠিক আছে আর জাকির নায়েক মুসলিম লীগের তাই সে সন্তাবাধি ভারতে আরো নেতা আছে তাদের দর,bangla,5,-1,1,1.0,bengali_hate_v1
66,আগের সেনা আছিলো পাগল আর এখন এটা পাগল নিউজপেপার জে লিখেছে ওই সালায় একটি ছাগল শালার পো ওই সেনা ভারত চুদেনা মাদার চোদ এই রকম লিকলে তোর নিউজ পেপারে গায়ে জুতা মারি খানকির ছেলে ওরা বয় পায় বলে সেনা বাতিল করেছে তুই শালা বুঝোস নাই ওরা আমাদের সাথেই পারেনাই আরতো ভারত ভারতের একটি বাল আর রাজাকার সমান কথা মাদার চোদ,bangla,3,-1,3,1.0,bengali_hate_v1
67, চুরের মার বড় গলা শালা মালাউনের বাচ্চা প্রতিটা খেলায় তুরা চুরি করছ আবার পাকনামি চুদাছ তুদের লজ্জা বলতে আছে কিছুরে   ,bangla,2,-1,3,1.0,bengali_hate_v1
68,এরা আসলেই রাজাকার তাই না কখন ও বড়ুই গাছে উঠছেন না উঠে থাকলে আজই গাছে উঠে দেখবেন নিচের দিকে একজন কে কয় জন দেখা যায় রাজাকার বলছেন বি এন পি কে দেখুন তো এদের নাম জানেন কি খনদকার মোশারফ যিনি শেখ হাসিনার বেয়াই মহিউদদিন আলমগীর মোজাফফর যিনি আওয়ামীলীগ এর সভাপতিমনডলির সদস্য আরো দেখাবো না জানি কষট পাবেন মনে রাখবেন কথায় বলে এক মাঘে শীত যায় না মাঘ আবার ঘুরে ফিরে আসবেই যতোটুকু লিখলাম তার ভিতর সুই ডুকানোর হিমমত থাকলে বলবেন আমায় আমি মুক্তিযোদ্ধা আমাকে করা কষট ক,bangla,1,-1,3,1.0,bengali_hate_v1
69,সেসেরটা সুনে মন চেয়েছিলো ওকে জুতাদিয়ে পিটিয়ে ,bangla,4,-1,1,1.0,bengali_hate_v1
70, রেন্ডিয়া নিজের দেশের মানুষের নিরাপত্তা দিতে ব্যর্থ হওয়া সত্ত্বেও বাংলাদেশকে নিয়ে নাক গলায়  ,bangla,5,-1,1,1.0,bengali_hate_v1
71,এই সব বাইনছোদরে গারানো দরকার ,bangla,4,-1,1,1.0,bengali_hate_v1
72,ভারত এসে বাংলাদেশএর সবার ধন লারত,bangla,5,-1,1,1.0,bengali_hate_v1
73,ওনার নিজের দেশে ট্রেন দুর্ঘটনায় আজ জন মারা গেছে ওইটার খবর নাই উনি আচ্চে ভারতের খোজ নিতে পালতু সব,bangla,5,-1,1,1.0,bengali_hate_v1
74,আগে নিজে লুচ্চামি ছাড়  ভালো হ মানুষের জন্য ভালো কিছু কর তারপর অন্যদের উপদেশ দিস অথবা অন্যের কাজের সমালোচনা করিস ,bangla,4,-1,1,1.0,bengali_hate_v1
75,সূচি কে যদি ইচ্ছা মত জুতা পিটা করতে পারতাম একটু শান্তি পেতাম   সূচি আগে ঘর বন্ধি চিল আর এখন সূচিকে বাথরুম বন্দি করে খাওয়া না দিয়ে আটকে রাখা উচিত   এত গুলো অসহায় মানুষ মারার জন্য সূচির ফাসি চাই ফাঁসি চাই ফাঁসি চাই  ,bangla,4,-1,1,1.0,bengali_hate_v1
76,শেষের টা খানকীর পোলা,bangla,4,-1,1,1.0,bengali_hate_v1
77, জাগে হে মুসলিম সন্তান জেগে ওঠে এই পিথিবি থেকে মালাউনেরদের নাম চিরতরে মুছে দিতে হবে রেনডিয়ারদের কুত্তার মতো করে মারার জন্য ধন্যবাদ পাকিস্তান সেনাবাহিনী কে দেখা মাত্রই ডাইরেক্ট ফায়ার ধংস হোক সালার রেনডিয়া ও মালাউনরা ইনশাআল্লাহ জয় আমাদের হবেই হবে দেখি সালারা জাই কোন দিকে ,bangla,2,-1,3,1.0,bengali_hate_v1
78,মালুদের রেন্ডিয়া বাল ছিড়ে তারা বাধবে,bangla,5,-1,1,1.0,bengali_hate_v1
79,তুই মরলে কুততা দ্বারা কবর দেয়াইস  ,bangla,2,-1,1,1.0,bengali_hate_v1
80,খানকি মাগি পো রাজনিতি বোজনা সালা হিলারি যগ্য নেতা,bangla,3,-1,3,1.0,bengali_hate_v1
81,রেন্ডিয়ান দুখিঃত আমি বইটা না দেখে আঠা দিতে পারব না ,bangla,5,-1,1,1.0,bengali_hate_v1
82, নিবির সাব রোহিঙ্গারা অপরাধ করে আর বাংলাদেশের সকল ফিরিস্তা অপরাধ কি জানেনা তোরা মালাউনের বংশধর অসহায় মানুষের ভাষা বুজার সেই মন তোদের নাই ,bangla,2,-1,1,1.0,bengali_hate_v1
83,হটাত বাংলাদেশের টাকা  ভারতে যায় কেন এটা ভাল করে খতিয়ে দেখা উচিত সরকারী বাবে ,bangla,5,-1,1,1.0,bengali_hate_v1
84,ভারত বাংলাদেশের সাথে খেলার যোগ্যতা রাখে কিনা তা নিয়েই প্রশ্ন আছে  আসুন খেলুন এবং দেখুন বাংলাদেশের রান করার যোগ্যতা আছে কিনা  ভয় পেয়েন না আপ্পায়ণতা ঠিকই করবো ,bangla,5,-1,3,1.0,bengali_hate_v1
85,আমরা ভারতের জন্য জীবন দিয়ে দিব হুহু হাহ,bangla,5,-1,1,1.0,bengali_hate_v1
86,আমি এখন ইনশাআল্লাহ সৌদি আরব আছি তারা হল জারজ সন্তান ,bangla,5,-1,1,1.0,bengali_hate_v1
87,দুর্ভাগ্যজনকভাবে বাংলাদেশ অনেক ক্ষেত্রে ভারসাম্যমূলক অবস্থান গ্রহণ করতে পারছে না  নানাভাবে বাংলাদেশের স্বার্থসংশ্লিষ্ট প্রকল্পগুলোতে ভারতের প্রত্যক্ষ ও পরোক্ষ হস্তক্ষেপ ঘটতে দেখা যাচ্ছে  বাস্তবতা হচ্ছে অনেক বড় ধরনের প্রকল্পে ভারত নিজেই চীনের মুখাপেক্ষী  সেখানে বাংলাদেশে চীনের বিনিয়োগ নিয়ে ভারতের নেতিবাচক অবস্থান গ্রহণ এ অঞ্চলে ভারতের অদূরদর্শী রাজনৈতিক প্রভাব বিস্তারের নোংরা খেলা ছাড়া কিছু নয়  চীনের সাথে সম্পর্ক এগিয়ে নিতে হলে ভারতনির্ভরতা কাটিয়ে বাংলাদেশকে স্বাধীনভাবে কিছু সিদ্ধান্ত নিতে হবে ,bangla,5,-1,1,1.0,bengali_hate_v1
88,প্লিজ কেউ কন্ড়ম চারা ওরে চুদবেন্না,bangla,4,-1,1,1.0,bengali_hate_v1
89, সব কয়টায় জামাত শিবির জরিত ,bangla,1,-1,1,1.0,bengali_hate_v1
90,ভারত যেন বাংলাদেশের কোনো ব্যাপারে নাক না গলা  কেননা ভারত বাংলাদেশকে কখনো ভালো চায় না,bangla,5,-1,1,1.0,bengali_hate_v1
91,কোটি মুসলিমদের বাস ভারতে আবালরা তারা কি মালাউন,bangla,5,-1,1,1.0,bengali_hate_v1
92,মাহী সে মানুষ টা বেশী ভাল না   ,bangla,1,-1,1,1.0,bengali_hate_v1
93,ভারতকে যারা পছন্দ করেননা ভাল কথা কিন্ত পাকিরাও আমাদের বন্ধু না তারা আরও বড় শত্রু  তারা এর জাল এখনো ভুলেনাই সুযোগ পেলেই তারা বাংলাদেশ কে বাশ দিবে কারন তারা এমন একটা জাতি যাদের কোন বুক পিট নাই ,bangla,5,-1,1,1.0,bengali_hate_v1
94,ভারতীয় নিয়ে এসে অবৈধ আব্বার পশ্চাৎদেশ শিশ্ন পুরীষ মূত্র এবং বীর্য লেহন করে আম্মুর চোদার কৃতজ্ঞতা জানানোই চোদনা ই পাকিস্তান জামাতি কাংলুর প্রধান ধর্ম ওটাই ওদের কোরান এবং হাদিস পাকিস্তানকে দিয়ে আম্মুকে চোদন দেওয়াটা সুন্নত এবং পাকিস্তানী মূত্র ও পুরীষ ভক্ষণ ও সুন্নত,bangla,5,-1,3,1.0,bengali_hate_v1
95,এই খানকি তুই একটা বাসটেট ,bangla,3,-1,3,1.0,bengali_hate_v1
96,তরে কত মানুষ গুয়া মারছে তা টিক নাই  দুধ দেখলে মনে হয় শুধু গুয়া মারছে না  দুধে শুনা ডুকাইচে তরে ছুধানির এক হাত নম্বা দন দিয়া গুয়া মারলে বুজতি তখন  ,bangla,3,-1,1,1.0,bengali_hate_v1
97,আন্দালিব ভাই   এই মাগীর পুতেরা কিসু জানে না   সালারা বুড়া ভাম,bangla,1,-1,1,1.0,bengali_hate_v1
98,রেন্ডিয়ার মতো বেস্যা কান্ট্রি  বাশ্বের আর কোথাও নাই  সারা দেশেই মাগীপাড়া  কুম্বমেলায় মেয়ে উরঙ্গ হয়ে গোসল করে,bangla,5,-1,1,1.0,bengali_hate_v1
99,ভারতে ফাকাফাকি তাদর সিনামার মত ভূয়া,bangla,5,-1,1,1.0,bengali_hate_v1
100,বিড়াল শুটকির নাগাল না পেলে বলে পরের হক্ব খাইনা,bangla,1,-1,1,1.0,bengali_hate_v1
101,পুরো বাক্যটি হচ্ছে এই যে দাদারা শুয়োরের বাচ্চারা কুকুরের ছানারা যদি আপনাদেরকে কামড়ায় বা আচড়ে দেয় তাহলে এই,bangla,4,-1,1,1.0,bengali_hate_v1
102,উ উ ওইযে দেখলাম তো জামালপুরে রাজাকারের বাচ্চারে মনোনয়ন দিছে ,bangla,1,-1,1,1.0,bengali_hate_v1
103,প্রতিবারই সব ঝড় ভারতের উপর দিয়ে গিয়ে বাংলাদেশে আছড়ে পড়ে যা ক্ষতি হবার যা মরার বাংলাদেশিদেরঈ হয় আল্লার গাজব,bangla,5,-1,1,1.0,bengali_hate_v1
104, আমার মতে ফাসি দেওয়া উচিত ,bangla,4,-1,1,1.0,bengali_hate_v1
